ticker,YTD_Return,Net_Assets,Yield
ASRIX - Invesco Global Real Estate Income R5,-0.0031,995.02M,0.0442
DFGEX - DFA Global Real Estate Securities Port,0.0146,7790M,0.0301
STMDX - Sterling Capital Stratton Rl Estt Instl,0.0516,92.58M,0.0147
MNRIX - Manning & Napier Real Estate I,0.0193,297.85M,0.0387
MGLRX - MFS Global Real Estate R6,0.0153,1390M,0.0234
JERIX - Janus Henderson Global Real Estate I,0.0176,280.6M,0.0423
MGLIX - MFS Global Real Estate I,0.014,1390M,0.023
GFMRX - Gerstein Fisher Mlt-Ftr Gl Rl Est Sec,-0.0072,148.33M,0.0379
CSDIX - Cohen & Steers Real Estate Securities I,0.0371,4850M,0.031
JERCX - Janus Henderson Global Real Estate C,0.0071,280.6M,0.0332
BIREX - BlackRock Real Estate Securities Instl,0.0559,23.91M,0.0255
TIREX - TIAA-CREF Real Estate Sec Instl,0.039,2150M,0.0193
MGLAX - MFS Global Real Estate A,0.0115,1390M,0.0216
DREYX - Davis Real Estate Y,0.0423,211.74M,0.0123
CSEIX - Cohen & Steers Real Estate Securities A,0.0343,4850M,0.03
JERSX - Janus Henderson Global Real Estate S,0.0122,280.6M,0.0378
VGSAX - Virtus Duff & Phelps Glb Rl Estt Secs A,0.0034,181.28M,0.0134
JERAX - Janus Henderson Global Real Estate A,0.0138,280.6M,0.0397
TRRPX - TIAA-CREF Real Estate Sec Premier,0.0378,2150M,0.018
POSIX - Principal Global Real Estate Sec Instl,0.0197,3150M,0.0302
AIGYX - Aberdeen Realty Income & Growth Instl,0.0116,88.1M,0.0325
JARIX - James Alpha Global Real Estate Invsmts I,-0.0084,771.84M,0.0366
JERTX - Janus Henderson Global Real Estate T,0.0152,280.6M,0.0403
JNGSX - Janus Henderson Global Real Estate D,0.0158,280.6M,0.0411
VGISX - Virtus Duff & Phelps Glb Rl Estt Secs I,0.0057,181.28M,0.0192
RRGAX - DWS RREEF Global Real Estate Secc A,0.007,683.46M,0.0782
FREAX - Nuveen Real Estate Securities A,0.0221,3390M,0.0229
PURZX - PGIM Global Real Estate Z,0.0057,2150M,0.0354
MNREX - Manning & Napier Real Estate S,0.0155,297.85M,0.0159
AREAX - AB Global Real Estate Investment A,0.0004,132.98M,0.071
DGRPX - Delaware Global Real Estate Opps A,0.0055,41.91M,0.0235
FARCX - Nuveen Real Estate Securities I,0.0249,3390M,0.0251
EAREX - Eaton Vance Real Estate A,0.04,58.42M,0.0163
PETAX - PIMCO Real Estate Real Return Strategy A,0.0185,1730M,0.0137
FSRNX - Fidelity Real Estate Index,0.0476,1490M,0.0288
KIFYX - Salient Select Income Institutional,-0.0452,487.62M,0.0576
ASRCX - Invesco Global Real Estate Income C,-0.0134,995.02M,0.0332
FREAX - Nuveen Real Estate Securities A,0.0221,3390M,0.0229
ARRRX - AB Global Real Estate Investment R,-0.0029,132.98M,0.0687
RRGAX - DWS RREEF Global Real Estate Secc A,0.007,683.46M,0.0782
DFREX - DFA Real Estate Securities I,0.0491,8990M,0.046
DRLYX - Dreyfus Global Real Estate Securities Y,0.0082,679.67M,0.0265
DGRPX - Delaware Global Real Estate Opps A,0.0055,41.91M,0.0235
AIAGX - Aberdeen Realty Income & Growth A,0.0095,88.1M,0.0301
PIREX - Principal Real Estate Securities Inst,0.0386,3770M,0.0198
MNREX - Manning & Napier Real Estate S,0.0155,297.85M,0.0159
DGROX - Delaware Global Real Estate Opps Instl,0.0065,41.91M,0.0263
PXRIX - Virtus Duff & Phelps Intl Rl Estt Secs I,-0.0327,41.37M,0.023
NRFYX - Natixis AEW Real Estate Y,0.0432,126.5M,0.0153
GREZX - GuideStone Funds Global Rl Est Secs Inv,0.0044,229.81M,0.0623
PURZX - PGIM Global Real Estate Z,0.0057,2150M,0.0354
DRLIX - Dreyfus Global Real Estate Securities I,0.0082,679.67M,0.0262
MRESX - AMG Managers CenterSquare Real Estate N,0.0329,250.12M,0.0192
AREAX - AB Global Real Estate Investment A,0.0004,132.98M,0.071
JAREX - James Alpha Global Real Estate Invsmts A,-0.0121,771.84M,0.0351
ARIIX - AB Global Real Estate Investment II I,0.0092,290.95M,0.0587
PREJX - Principal Real Estate Securities J,0.0365,3770M,0.0185
POSAX - Principal Global Real Estate Sec A,0.0161,3150M,0.0286
JACRX - James Alpha Global Real Estate Invsmts C,-0.0193,771.84M,0.0289
ARRKX - AB Global Real Estate Investment K,0.0001,132.98M,0.0713
RRGIX - DWS RREEF Global Real Estate Secc Inst,0.0093,683.46M,0.081
ASRYX - Invesco Global Real Estate Income Y,-0.0038,995.02M,0.0433
CSCIX - Cohen & Steers Real Estate Securities C,0.0285,4850M,0.0271
PETPX - PIMCO Real Estate Real Return StrategyI2,0.0208,1730M,0.0146
PRENX - Principal Real Estate Securities R2,0.0325,3770M,0.0145
KIFAX - Salient Select Income A,-0.048,487.62M,0.0539
TCREX - TIAA-CREF Real Estate Sec Retail,0.0356,2150M,0.0167
BLRIX - Brookfield Global Listed Real Estate I,-0.0234,1840M,0.0411
AEEIX - AB Global Real Estate Investment I,0.0029,132.98M,0.0747
RPFRX - Davis Real Estate A,0.0398,211.74M,0.01
CSRIX - Cohen & Steers Instl Realty Shares,0.0383,2950M,0.0323
NGRIX - Neuberger Berman Global Real Est Instl,0.0062,2.82M,0.0175
TAREX - Third Avenue Real Estate Value Instl,-0.1337,1470M,0.0115
BLRYX - Brookfield Global Listed Real Estate Y,-0.0242,1840M,0.0411
PRRAX - Principal Real Estate Securities A,0.0353,3770M,0.0165
ARSYX - AB Global Real Estate Investment Advisor,0.0031,132.98M,0.0744
BLRAX - Brookfield Global Listed Real Estate A,-0.0254,1840M,0.0383
ASRFX - Invesco Global Real Estate Income R6,-0.0024,995.02M,0.0452
VGSLX - Vanguard Real Estate Index Admiral,0.0216,59160M,0.0423
PRRAX - Principal Real Estate Securities A,0.0353,3770M,0.0165
CSRIX - Cohen & Steers Instl Realty Shares,0.0383,2950M,0.0323
NGRIX - Neuberger Berman Global Real Est Instl,0.0062,2.82M,0.0175
PETCX - PIMCO Real Estate Real Return Strategy C,0.0106,1730M,0.0232
KIFAX - Salient Select Income A,-0.048,487.62M,0.0539
BLRIX - Brookfield Global Listed Real Estate I,-0.0234,1840M,0.0411
AEEIX - AB Global Real Estate Investment I,0.0029,132.98M,0.0747
RPFRX - Davis Real Estate A,0.0398,211.74M,0.01
DRLAX - Dreyfus Global Real Estate Securities A,0.0059,679.67M,0.0239
POSCX - Principal Global Real Estate Sec C,0.0086,3150M,0.0223
TAREX - Third Avenue Real Estate Value Instl,-0.1337,1470M,0.0115
BLRYX - Brookfield Global Listed Real Estate Y,-0.0242,1840M,0.0411
VGSCX - Virtus Duff & Phelps Glb Rl Estt Secs C,-0.0031,181.28M,0.0144
PRETX - Principal Real Estate Securities R4,0.0357,3770M,0.0178
ARSYX - AB Global Real Estate Investment Advisor,0.0031,132.98M,0.0744
BLRAX - Brookfield Global Listed Real Estate A,-0.0254,1840M,0.0383
ASRFX - Invesco Global Real Estate Income R6,-0.0024,995.02M,0.0452
ASRAX - Invesco Global Real Estate Income A,-0.0056,995.02M,0.0408
CSSPX - Cohen & Steers Global Realty I,0.0066,1260M,0.0268
NRREX - Neuberger Berman Real Estate R6,0.022,444.46M,0.022
BLRCX - Brookfield Global Listed Real Estate C,-0.0331,1840M,0.0309
SETAX - SEI Real Estate F (SIMT),0.0238,127.44M,0.0116
MGRLX - Morgan Stanley Inst Global Real Est L,-0.0198,984.88M,0.0192
IARFX - Invesco Real Estate R6,0.0257,1430M,0.0154
EIREX - Eaton Vance Real Estate I,0.0428,58.42M,0.0188
DFITX - DFA International Real Estate Sec I,-0.0538,5520M,0.0445
GREIX - Goldman Sachs Real Estate Securities Ins,0.0414,196.41M,0.0216
PXRCX - Virtus Duff & Phelps Intl Rl Estt Secs C,-0.042,41.37M,0.0082
AREBX - AB Global Real Estate Investment B,-0.0069,132.98M,0.0627
FIREX - Fidelity Intl Real Estate,-0.0413,531.47M,0.022
IARRX - Invesco Real Estate R,0.0188,1430M,0.0088
NRFAX - Natixis AEW Real Estate A,0.0416,126.5M,0.012
ARECX - AB Global Real Estate Investment C,-0.0065,132.98M,0.064
PYREX - Pioneer Real Estate Y,0.0056,90.03M,0.0286
RREAX - Russell Inv Global Real Estate Secs A,-0.0057,1080M,0.0372
FHEAX - Fidelity Advisor Real Estate A,0.0291,578.5M,0.0164
CRERX - Columbia Real Estate Equity Adv,0.0085,311.03M,0.0171
MURSX - Morgan Stanley Inst US Real Estate IS,0.0201,299.66M,0.0188
REAIX - American Century Real Estate I,0.0309,988.05M,0.0256
ARYDX - American Century Global Real Estate R6,-0.0118,64.99M,0.0381
NRERX - Neuberger Berman Real Estate R3,0.0154,444.46M,0.0157
RREEX - Russell Inv Global Real Estate Secs E,-0.0055,1080M,0.0368
CRRVX - Columbia Real Estate Equity Inst2,0.0098,311.03M,0.0187
PXRAX - Virtus Duff & Phelps Intl Rl Estt Secs A,-0.0353,41.37M,0.0172
RRRAX - DWS RREEF Real Estate Securities A,0.043,1290M,0.0165
LITIX - Lazard Global Realty Equity Instl,-0.0653,4.75M,0.041
IARYX - Invesco Real Estate Y,0.0241,1430M,0.0135
DGBCX - Dreyfus Global Real Estate Securities C,-0.0007,679.67M,0.0151
ARYVX - American Century Global Real Estate Inv,-0.0152,64.99M,0.0345
OREIX - Oppenheimer Real Estate I,0.027,993.83M,0.0172
DNREX - Dunham Real Estate Stock N,0.0165,55.92M,0.0074
FRIOX - Fidelity Advisor Real Estate Income C,0.0162,5340M,0.0323
PRCEX - Principal Real Estate Securities C,0.0279,3770M,0.0094
SAREX - SA Real Estate Securities Investor,0.0406,189.43M,0.0118
PURRX - PGIM Global Real Estate R,-0.0008,2150M,0.0292
KIFCX - Salient Select Income C,-0.0548,487.62M,0.0474
ARYNX - American Century Global Real Estate I,-0.0135,64.99M,0.0366
CSFCX - Cohen & Steers Global Realty C,-0.0024,1260M,0.0174
OREYX - Oppenheimer Real Estate Y,0.0252,993.83M,0.0154
FRIRX - Fidelity Advisor Real Estate Income I,0.0254,5340M,0.0413
MGREX - Morgan Stanley Inst Global Real Est IS,-0.0105,984.88M,0.0284
DRECX - Davis Real Estate C,0.0317,211.74M,0.0024
REIIX - West Loop Realty Instl,-0.0061,65.92M,0.0154
PHRAX - Virtus Duff & Phelps Real Estate Secs A,0.0158,642.47M,0.0104
PURCX - PGIM Global Real Estate C,-0.0036,2150M,0.0268
NRFNX - Natixis AEW Real Estate N,0.0442,126.5M,0.0157
NMMGX - Northern Multi-Manager Glbl Real Estate,0.0072,75.16M,0.064
BCREX - BlackRock Real Estate Securities Inv C,0.0465,23.91M,0.0165
PREQX - PACE Global Real Estate Securities P,-0.0245,129.66M,0.041
NGRCX - Neuberger Berman Global Real Est C,-0.0047,2.82M,0.0083
MRLAX - Morgan Stanley Inst Global Real Est I,-0.0114,984.88M,0.0278
MXREX - Great-West Real Estate Index Inv,0.0412,380.72M,0.0094
FRIQX - Fidelity Advisor Real Estate Income M,0.0225,5340M,0.0382
RENIX - Shelton Real Estate Income Institutional,0.0054,5.93M,0.0572
PREAX - PACE Global Real Estate Securities A,-0.0262,129.66M,0.0364
RRRSX - DWS RREEF Real Estate Securities R,0.0406,1290M,0.0136
TRGRX - T. Rowe Price Global Real Estate,-0.007,144.67M,0.0217
DLPRX - Delaware Global Real Estate Opps R,0.0019,41.91M,0.0206
GRETX - Goldman Sachs Real Estate Securities Inv,0.0399,196.41M,0.0211
AREDX - American Century Real Estate R6,0.032,988.05M,0.027
PURBX - PGIM Global Real Estate B,-0.0064,2150M,0.0241
NBRIX - Neuberger Berman Real Estate I,0.0207,444.46M,0.0213
FHETX - Fidelity Advisor Real Estate M,0.0268,578.5M,0.0145
IRFIX - Cohen & Steers International Realty I,-0.0246,626.19M,0.0401
GRESX - Goldman Sachs Real Estate Securities Svc,0.0366,196.41M,0.019
IREIX - Ivy Securian Real Estate Securities I,0.0228,437.96M,0.0174
BLRCX - Brookfield Global Listed Real Estate C,-0.0331,1840M,0.0309
NREAX - Neuberger Berman Real Estate A,0.0178,444.46M,0.0178
FREGX - Nuveen Real Estate Securities R6,0.0258,3390M,0.0251
SREAX - PGIM Select Real Estate A,0.0071,9.04M,0.0236
GREIX - Goldman Sachs Real Estate Securities Ins,0.0414,196.41M,0.0216
AREBX - AB Global Real Estate Investment B,-0.0069,132.98M,0.0627
MRLBX - Morgan Stanley Inst Global Real Est A,-0.0151,984.88M,0.0229
FRLCX - Nuveen Real Estate Securities C,0.015,3390M,0.0162
FIREX - Fidelity Intl Real Estate,-0.0413,531.47M,0.022
PWREX - Pioneer Real Estate A,0.0015,90.03M,0.0226
ARECX - AB Global Real Estate Investment C,-0.0065,132.98M,0.064
SEIRX - SEI Real Estate I (SIMT),0.021,127.44M,0.0096
REINX - Invesco Real Estate Investor,0.021,1430M,0.0114
IARIX - Invesco Real Estate R5,0.0246,1430M,0.0145
LREIX - Lazard US Realty Equity Instl,0.0037,68.6M,0.0167
FHEAX - Fidelity Advisor Real Estate A,0.0291,578.5M,0.0164
FRSSX - Nuveen Real Estate Securities R3,0.0196,3390M,0.0207
ARGYX - Invesco Global Real Estate Y,-0.0108,832.51M,0.0308
CRERX - Columbia Real Estate Equity Adv,0.0085,311.03M,0.0171
PJEZX - PGIM US Real Estate Z,0.0473,23.31M,0.0172
REAIX - American Century Real Estate I,0.0309,988.05M,0.0256
ARYDX - American Century Global Real Estate R6,-0.0118,64.99M,0.0381
IARAX - Invesco Real Estate A,0.0212,1430M,0.0112
RREEX - Russell Inv Global Real Estate Secs E,-0.0055,1080M,0.0368
CRRVX - Columbia Real Estate Equity Inst2,0.0098,311.03M,0.0187
LREOX - Lazard US Realty Equity Open,0.0005,68.6M,0.0137
RRRAX - DWS RREEF Real Estate Securities A,0.043,1290M,0.0165
RRGCX - DWS RREEF Global Real Estate Secc C,0.0004,683.46M,0.07
LITIX - Lazard Global Realty Equity Instl,-0.0653,4.75M,0.041
IRESX - Ivy LaSalle Global Real Estate I,0.0146,128.93M,0.0432
GREAX - Goldman Sachs Real Estate Securities A,0.0385,196.41M,0.0199
AREEX - American Century Real Estate A,0.0266,988.05M,0.0215
VGXRX - Vanguard Global ex-US Real Est Idx Inv,-0.0768,6190M,0.0512
FHEIX - Fidelity Advisor Real Estate I,0.0322,578.5M,0.0191
DLPCX - Delaware Global Real Estate Opps C,-0.002,41.91M,0.0155
NBRFX - Neuberger Berman Real Estate Tr,0.0201,444.46M,0.0196
AGREX - Invesco Global Real Estate A,-0.012,832.51M,0.0282
IARFX - Invesco Real Estate R6,0.0257,1430M,0.0154
EIREX - Eaton Vance Real Estate I,0.0428,58.42M,0.0188
VGRNX - Vanguard Global ex-US Real Est Idx Ins,-0.0752,6190M,0.0535
IRESX - Ivy LaSalle Global Real Estate I,0.0146,128.93M,0.0432
GREAX - Goldman Sachs Real Estate Securities A,0.0385,196.41M,0.0199
PXRCX - Virtus Duff & Phelps Intl Rl Estt Secs C,-0.042,41.37M,0.0082
RREEX - Russell Inv Global Real Estate Secs E,-0.0055,1080M,0.0368
CRRVX - Columbia Real Estate Equity Inst2,0.0098,311.03M,0.0187
IARCX - Invesco Real Estate C,0.0142,1430M,0.0042
RENTX - Shelton Real Estate Income Investor,0.0029,5.93M,0.0464
FFSLX - Salient Select Income Inv,-0.0476,487.62M,0.0543
RREIX - REMS Real Estate Income 50/50 Instl,-0.0435,59.94M,0.0462
IGARX - Voya Global Real Estate R,-0.044,1030M,0.0393
KIRAX - Salient Global Real Estate A,-0.0497,44.07M,0.119
CGREX - Invesco Global Real Estate C,-0.0205,832.51M,0.0208
IGCAX - Voya Global Real Estate C,-0.0488,1030M,0.0428
BRUYX - Brookfield US Listed Real Estate Y,0.0164,30.04M,0.0388
FHECX - Fidelity Advisor Real Estate C,0.0216,578.5M,0.0104
ORENX - Oppenheimer Real Estate R,0.0206,993.83M,0.0108
IRSCX - Ivy Securian Real Estate Securities C,0.0122,437.96M,0.0073
KIRCX - Salient Global Real Estate C,-0.0568,44.07M,0.114
CREEX - Columbia Real Estate Equity Inst,0.0094,311.03M,0.0174
DPRSX - Delaware REIT Instl,0.0145,80.7M,0.0202
ARYTX - American Century Global Real Estate C,-0.0235,64.99M,0.0242
IREWX - Voya Real Estate W,0.001,432.57M,0.0163
IGLAX - Voya Global Real Estate A,-0.042,1030M,0.0413
JRIRX - JPMorgan Realty Income R5,0.0098,2620M,0.0249
MSUSX - Morgan Stanley Inst US Real Estate I,0.0195,299.66M,0.0182
FFIRX - Salient Global Real Estate Inv,-0.0496,44.07M,0.1194
FRLAX - Franklin Real Estate Securities Adv,0.0201,438.17M,0.0182
PJECX - PGIM US Real Estate C,0.0366,23.31M,0.0085
CRARX - Voya Real Estate I,0.0022,432.57M,0.0201
CREAX - Columbia Real Estate Equity A,0.0068,311.03M,0.0152
IRSYX - Ivy Securian Real Estate Securities Y,0.0206,437.96M,0.0157
FREEX - Franklin Real Estate Securities A,0.0179,438.17M,0.016
CREAX - Columbia Real Estate Equity A,0.0068,311.03M,0.0152
NRECX - Neuberger Berman Real Estate C,0.0104,444.46M,0.0105
RRSCX - Russell Inv Global Real Estate Secs C,-0.0124,1080M,0.0313
PCREX - Pioneer Real Estate C,-0.0044,90.03M,0.0168
REICX - West Loop Realty C,-0.0161,65.92M,0.0057
DPREX - Delaware REIT A,0.0119,80.7M,0.0179
SOAAX - Spirit of America Real Estate Inc & Gr A,0.0131,89.41M,0.0702
CRECX - Columbia Real Estate Equity C,-0.0003,311.03M,0.0086
DCREX - Dunham Real Estate Stock C,0.0073,55.92M,0
AREWX - American Century Real Estate R,0.0246,988.05M,0.0193
GRERX - Goldman Sachs Real Estate Securities R,0.0355,196.41M,0.0185
IRSAX - Ivy Securian Real Estate Securities A,0.0189,437.96M,0.0142
URTAX - JPMorgan Realty Income A,0.005,2620M,0.021
IRFAX - Cohen & Steers International Realty A,-0.0274,626.19M,0.0366
DAREX - Dunham Real Estate Stock A,0.0138,55.92M,0.0054
ARYCX - American Century Real Estate C,0.0198,988.05M,0.0159
DPRRX - Delaware REIT R,0.0099,80.7M,0.0152
URTCX - JPMorgan Realty Income C,0.0002,2620M,0.0163
IDROX - Voya Real Estate O,-0.0015,432.57M,0.019
IRFCX - Cohen & Steers International Realty C,-0.0334,626.19M,0.0301
LITOX - Lazard Global Realty Equity Open,-0.068,4.75M,0.0378
URTLX - JPMorgan Realty Income L,0.0087,2620M,0.0246
IDGTX - Voya Global Real Estate O,-0.0431,1030M,0.0417
BRUAX - Brookfield US Listed Real Estate A,0.0142,30.04M,0.036
IRGWX - Voya Global Real Estate W,-0.04,1030M,0.0437
SOAAX - Spirit of America Real Estate Inc & Gr A,0.0131,89.41M,0.0702
TRSIX - Transamerica Global Real Estate Secs I2,-0.0503,22.32M,0.0397
NRECX - Neuberger Berman Real Estate C,0.0104,444.46M,0.0105
IRECX - Ivy LaSalle Global Real Estate C,0.0035,64.69M,0.0241
PCREX - Pioneer Real Estate C,-0.0044,90.03M,0.0168
CREWX - Columbia Real Estate Equity T,0.0069,311.03M,0.0152
IRSAX - Ivy Securian Real Estate Securities A,0.0189,437.96M,0.0142
URTAX - JPMorgan Realty Income A,0.005,2620M,0.021
IREBX - Ivy LaSalle Global Real Estate B,0.0048,64.69M,0.0261
FFSLX - Salient Select Income Inv,-0.0476,487.62M,0.0543
REICX - West Loop Realty C,-0.0161,65.92M,0.0057
DPREX - Delaware REIT A,0.0119,80.7M,0.0179
RREIX - REMS Real Estate Income 50/50 Instl,-0.0435,59.94M,0.0462
CRECX - Columbia Real Estate Equity C,-0.0003,311.03M,0.0086
IARCX - Invesco Real Estate C,0.0142,1430M,0.0042
RRSCX - Russell Inv Global Real Estate Secs C,-0.0124,1080M,0.0313
KIRAX - Salient Global Real Estate A,-0.0497,44.07M,0.119
DCREX - Dunham Real Estate Stock C,0.0073,55.92M,0
MIREX - Morgan Stanley Inst Intl Rl Est IS,-0.0574,24.42M,0.0628
IRSBX - Ivy Securian Real Estate Securities B,0.0096,437.96M,0.0057
CGMRX - CGM Realty,-0.1341,763.01M,0.009
GIRAX - Goldman Sachs Intl Real Estate Sec A,-0.0495,98.99M,0.0389
DPRCX - Delaware REIT C,0.0053,80.7M,0.0085
CRCRX - Voya Real Estate C,-0.0082,432.57M,0.011
BREIX - Baron Real Estate Institutional,-0.1387,682.89M,0.0028
EGALX - Aberdeen International Rl Estt Eq A,-0.1476,97.49M,0.0233
EGLRX - Aberdeen International Rl Estt Eq Instl,-0.1455,97.49M,0.026
GIRTX - Goldman Sachs Intl Real Estate Sec Inv,-0.0472,98.99M,0.0411
CNREX - Commonwealth Real Estate Securities,-0.0853,10.91M,0
MSOLX - Morgan Stanley Inst Intl Rl Est L,-0.0644,24.42M,0.0501
GIRAX - Goldman Sachs Intl Real Estate Sec A,-0.0495,98.99M,0.0389
FRRSX - Franklin Real Estate Securities C,0.0104,438.17M,0.0116
MSUAX - Morgan Stanley Inst Intl Rl Est I,-0.0574,24.42M,0.0623
CRCRX - Voya Real Estate C,-0.0082,432.57M,0.011
GIRTX - Goldman Sachs Intl Real Estate Sec Inv,-0.0472,98.99M,0.0411
GIRCX - Goldman Sachs Intl Real Estate Sec C,-0.0572,98.99M,0.0288
MIREX - Morgan Stanley Inst Intl Rl Est IS,-0.0574,24.42M,0.0628
IIRIX - Voya International Real Estate I,-0.0615,98.23M,0.0742
GIRIX - Goldman Sachs Intl Real Estate Sec Instl,-0.0447,98.99M,0.0427
RYREX - Rydex Real Estate A,0.0093,52.02M,0.0051
IIRWX - Voya International Real Estate W,-0.0609,98.23M,0.0741
IIRAX - Voya International Real Estate A,-0.0636,98.23M,0.0696
CGMRX - CGM Realty,-0.1341,763.01M,0.009
RYCRX - Rydex Real Estate C,0.0023,52.02M,0.0058
IIRCX - Voya International Real Estate C,-0.0703,98.23M,0.0634
AWP - Alpine Global Premier Properties Fund,5.38,0.87,N/A
GIREX - Griffin Institutional Access Re,N/A,N/A,N/A
TIPRX - Total Income + Real Estate Fund,N/A,N/A,N/A
